date,locale,locale_name,description
2012-03-02,Local,Manta,Fundacion de Manta
2012-04-01,Regional,Cotopaxi,Provincializacion de Cotopaxi
2012-04-12,Local,Cuenca,Fundacion de Cuenca
2012-04-14,Local,Libertad,Cantonizacion de Libertad
2012-04-21,Local,Riobamba,Cantonizacion de Riobamba
2012-05-12,Local,Puyo,Cantonizacion del Puyo
2012-06-23,Local,Guaranda,Cantonizacion de Guaranda
2012-06-25,Regional,Imbabura,Provincializacion de Imbabura
2012-06-25,Local,Latacunga,Cantonizacion de Latacunga
2012-06-25,Local,Machala,Fundacion de Machala
2012-07-03,Local,Santo Domingo,Fundacion de Santo Domingo
2012-07-03,Local,El Carmen,Cantonizacion de El Carmen
2012-07-23,Local,Cayambe,Cantonizacion de Cayambe
2012-08-05,Local,Esmeraldas,Fundacion de Esmeraldas
2012-08-10,National,Ecuador,Primer Grito de Independencia
2012-08-15,Local,Riobamba,Fundacion de Riobamba
2012-08-24,Local,Ambato,Fundacion de Ambato
2012-09-28,Local,Ibarra,Fundacion de Ibarra
2012-10-07,Local,Quevedo,Cantonizacion de Quevedo
2012-10-09,National,Ecuador,Independencia de Guayaquil
2012-10-12,National,Ecuador,Traslado Independencia de Guayaquil
2012-11-02,National,Ecuador,Dia de Difuntos
2012-11-03,National,Ecuador,Independencia de Cuenca
2012-11-06,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo
2012-11-07,Regional,Santa Elena,Provincializacion Santa Elena
2012-11-10,Local,Guaranda,Independencia de Guaranda
2012-11-11,Local,Latacunga,Independencia de Latacunga
2012-11-12,Local,Ambato,Independencia de Ambato
2012-12-05,Local,Quito,Fundacion de Quito-1
2012-12-06,Local,Quito,Fundacion de Quito
2012-12-08,Local,Loja,Fundacion de Loja
2012-12-21,National,Ecuador,Navidad-4
2012-12-22,Local,Salinas,Cantonizacion de Salinas
2012-12-22,National,Ecuador,Navidad-3
2012-12-23,National,Ecuador,Navidad-2
2012-12-24,National,Ecuador,Puente Navidad
2012-12-24,National,Ecuador,Navidad-1
2012-12-25,National,Ecuador,Navidad
2012-12-26,National,Ecuador,Navidad+1
2012-12-31,National,Ecuador,Puente Primer dia del ano
2012-12-31,National,Ecuador,Primer dia del ano-1
2013-01-01,National,Ecuador,Primer dia del ano
2013-01-05,National,Ecuador,Recupero puente Navidad
2013-01-12,National,Ecuador,Recupero puente primer dia del ano
2013-02-11,National,Ecuador,Carnaval
2013-02-12,National,Ecuador,Carnaval
2013-03-02,Local,Manta,Fundacion de Manta
2013-04-01,Regional,Cotopaxi,Provincializacion de Cotopaxi
2013-04-12,Local,Cuenca,Fundacion de Cuenca
2013-04-14,Local,Libertad,Cantonizacion de Libertad
2013-04-21,Local,Riobamba,Cantonizacion de Riobamba
2013-04-29,National,Ecuador,Viernes Santo
2013-05-01,National,Ecuador,Dia del Trabajo
2013-05-11,National,Ecuador,Dia de la Madre-1
2013-05-12,Local,Puyo,Cantonizacion del Puyo
2013-05-12,National,Ecuador,Dia de la Madre
2013-05-24,National,Ecuador,Batalla de Pichincha
2013-06-23,Local,Guaranda,Cantonizacion de Guaranda
2013-06-25,Regional,Imbabura,Provincializacion de Imbabura
2013-06-25,Local,Machala,Fundacion de Machala
2013-06-25,Local,Latacunga,Cantonizacion de Latacunga
2013-07-03,Local,El Carmen,Cantonizacion de El Carmen
2013-07-03,Local,Santo Domingo,Fundacion de Santo Domingo
2013-07-23,Local,Cayambe,Cantonizacion de Cayambe
2013-07-24,Local,Guayaquil,Fundacion de Guayaquil-1
2013-07-25,Local,Guayaquil,Fundacion de Guayaquil
2013-08-05,Local,Esmeraldas,Fundacion de Esmeraldas
2013-08-10,National,Ecuador,Primer Grito de Independencia
2013-08-15,Local,Riobamba,Fundacion de Riobamba
2013-08-24,Local,Ambato,Fundacion de Ambato
2013-09-28,Local,Ibarra,Fundacion de Ibarra
2013-10-07,Local,Quevedo,Cantonizacion de Quevedo
2013-10-09,National,Ecuador,Independencia de Guayaquil
2013-10-11,National,Ecuador,Traslado Independencia de Guayaquil
2013-11-02,National,Ecuador,Dia de Difuntos
2013-11-03,National,Ecuador,Independencia de Cuenca
2013-11-06,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo
