store_nbr,city,region
1,Quito,Pichincha
2,Quito,Pichincha
3,Quito,Pichincha
4,Quito,Pichincha
5,Santo Domingo,Santo Domingo de los Tsachilas
6,Quito,Pichincha
7,Quito,Pichincha
8,Quito,Pichincha
9,Quito,Pichincha
10,Quito,Pichincha
11,Cayambe,Pichincha
12,Latacunga,Cotopaxi
13,Latacunga,Cotopaxi
14,Riobamba,Chimborazo
15,Ibarra,Imbabura
16,Santo Domingo,Santo Domingo de los Tsachilas
17,Quito,Pichincha
18,Quito,Pichincha
19,Guaranda,Bolivar
20,Quito,Pichincha
21,Santo Domingo,Santo Domingo de los Tsachilas
22,Puyo,Pastaza
23,Ambato,Tungurahua
24,Guayaquil,Guayas
25,Salinas,Santa Elena
26,Guayaquil,Guayas
27,Daule,Guayas
28,Guayaquil,Guayas
29,Guayaquil,Guayas
30,Guayaquil,Guayas
31,Babahoyo,Los Rios
32,Guayaquil,Guayas
33,Quevedo,Los Rios
34,Guayaquil,Guayas
35,Playas,Guayas
36,Libertad,Guayas
37,Cuenca,Azuay
38,Loja,Loja
39,Cuenca,Azuay
40,Machala,El Oro
41,Machala,El Oro
42,Cuenca,Azuay
43,Esmeraldas,Esmeraldas
44,Quito,Pichincha
45,Quito,Pichincha
46,Quito,Pichincha
47,Quito,Pichincha
48,Quito,Pichincha
49,Quito,Pichincha
50,Ambato,Tungurahua
51,Guayaquil,Guayas
52,Manta,Manabi
53,Manta,Manabi
54,El Carmen,Manabi
