date,unit_sales
2013-01-02,582.0
2013-01-03,310.0
2013-01-04,338.0
2013-01-05,654.0
2013-01-06,979.0
2013-01-07,541.0
2013-01-08,434.0
2013-01-09,593.0
2013-01-10,700.0
2013-01-11,726.0
2013-01-12,631.0
2013-01-13,679.0
2013-01-14,683.0
2013-01-15,547.0
2013-01-16,265.0
2013-01-17,4.0
2013-01-18,60.0
2013-01-19,667.0
2013-01-20,1090.0
2013-01-21,760.0
2013-01-22,461.0
2013-01-23,413.0
2013-01-24,326.0
2013-01-25,389.0
2013-01-26,697.0
2013-01-27,616.0
2013-01-28,318.0
2013-01-29,393.0
2013-01-30,487.0
2013-01-31,282.0
2013-02-01,401.0
2013-02-02,775.0
2013-02-03,855.0
2013-02-04,411.0
2013-02-05,272.0
2013-02-06,461.0
2013-02-07,397.0
2013-02-08,226.0
2013-02-09,377.0
2013-02-10,356.0
2013-02-11,407.0
2013-02-12,469.0
2013-02-13,277.0
2013-02-14,280.0
2013-02-15,304.0
2013-02-16,576.0
2013-02-17,395.0
2013-02-18,417.0
2013-02-19,244.0
2013-02-20,339.0
2013-02-21,457.0
2013-02-22,186.0
2013-02-23,497.0
2013-02-24,509.0
2013-02-25,441.0
2013-02-26,550.0
2013-02-27,388.0
2013-02-28,316.0
2013-03-01,305.0
2013-03-02,627.0
2013-03-03,853.0
2013-03-04,554.0
2013-03-05,487.0
2013-03-06,458.0
2013-03-07,566.0
2013-03-08,361.0
2013-03-09,549.0
2013-03-10,591.0
2013-03-11,296.0
2013-03-12,213.0
2013-03-13,620.0
2013-03-14,388.0
2013-03-15,240.0
2013-03-16,779.0
2013-03-17,695.0
2013-03-18,465.0
2013-03-19,418.0
2013-03-20,522.0
2013-03-21,241.0
2013-03-22,353.0
2013-03-23,544.0
2013-03-24,529.0
2013-03-25,413.0
2013-03-26,300.0
2013-03-27,353.0
2013-03-28,594.0
2013-03-29,575.0
2013-03-30,577.0
2013-03-31,643.0
2013-04-01,431.0
2013-04-02,527.0
2013-04-03,463.0
2013-04-04,305.0
2013-04-05,415.0
2013-04-06,972.0
2013-04-07,936.0
2013-04-08,369.0
2013-04-09,458.0
2013-04-10,386.0
