date,unit_sales,dcoilwtico,is_national_holiday,is_regional_holiday,is_local_holiday,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,lag_1,lag_7,lag_14,lag_30,rolling_7d_mean,rolling_14d_mean,rolling_30d_mean,rolling_7d_std,oil_lag_1,oil_rolling_7d_mean
2013-01-02,582.0,93.14,0,0,0,2013,1,2,2,1,1,0,0,0,,,,,,,,,,
2013-01-03,310.0,92.97,0,0,0,2013,1,3,3,1,1,0,0,0,582.0,,,,,,,,93.14,
2013-01-04,338.0,93.12,0,0,0,2013,1,4,4,1,1,0,0,0,310.0,,,,,,,,92.97,
2013-01-05,654.0,93.14666666666668,1,0,0,2013,1,5,5,1,1,1,0,0,338.0,,,,,,,,93.12,
2013-01-06,979.0,93.17333333333333,0,0,0,2013,1,6,6,1,1,1,0,0,654.0,,,,,,,,93.14666666666668,
2013-01-07,541.0,93.2,0,0,0,2013,1,7,0,1,2,0,0,0,979.0,,,,,,,,93.17333333333333,
2013-01-08,434.0,93.21,0,0,0,2013,1,8,1,1,2,0,0,0,541.0,,,,,,,,93.2,
2013-01-09,593.0,93.08,0,0,0,2013,1,9,2,1,2,0,0,0,434.0,582.0,,,548.2857142857143,,,228.0136796230395,93.21,93.13714285714286
2013-01-10,700.0,93.81,0,0,0,2013,1,10,3,1,2,0,0,0,593.0,310.0,,,549.8571428571429,,,228.32245368588448,93.08,93.12857142857142
2013-01-11,726.0,93.6,0,0,0,2013,1,11,4,1,2,0,0,0,700.0,338.0,,,605.5714285714286,,,206.58723511941804,93.81,93.24857142857142
2013-01-12,631.0,93.82333333333332,1,0,0,2013,1,12,5,1,2,1,0,0,726.0,654.0,,,661.0,,,171.98449542521752,93.6,93.31714285714285
2013-01-13,679.0,94.04666666666667,0,0,0,2013,1,13,6,1,2,1,0,0,631.0,979.0,,,657.7142857142857,,,172.35981191073736,93.82333333333332,93.41380952380952
2013-01-14,683.0,94.27,0,0,0,2013,1,14,0,1,3,0,0,0,679.0,541.0,,,614.8571428571429,,,102.15907297189116,94.04666666666667,93.53857142857143
2013-01-15,547.0,93.26,0,0,0,2013,1,15,1,1,3,0,0,0,683.0,434.0,,,635.1428571428571,,,99.10167938608738,94.27,93.69142857142857
2013-01-16,265.0,94.28,0,0,0,2013,1,16,2,1,3,0,0,0,547.0,593.0,582.0,,651.2857142857143,599.7857142857143,,63.78796721878481,93.26,93.69857142857143
2013-01-17,4.0,95.49,0,0,0,2013,1,17,3,1,3,0,0,0,265.0,700.0,310.0,,604.4285714285714,577.1428571428571,,160.6568362928233,94.28,93.87
2013-01-18,60.0,95.61,0,0,0,2013,1,18,4,1,3,0,0,0,4.0,726.0,338.0,,505.0,555.2857142857143,,269.88948355453437,95.49,94.11
2013-01-19,667.0,95.73,0,0,0,2013,1,19,5,1,3,1,0,0,60.0,631.0,654.0,,409.85714285714283,535.4285714285714,,295.2007388040824,95.61,94.39714285714285
2013-01-20,1090.0,95.85,0,0,0,2013,1,20,6,1,3,1,0,0,667.0,679.0,979.0,,415.0,536.3571428571429,,299.97055411045466,95.73,94.66952380952382
2013-01-21,760.0,95.97,0,0,0,2013,1,21,0,1,4,0,0,0,1090.0,683.0,541.0,,473.7142857142857,544.2857142857143,,387.66210127107433,95.85,94.92714285714285
2013-01-22,461.0,96.09,0,0,0,2013,1,22,1,1,4,0,0,0,760.0,547.0,434.0,,484.7142857142857,559.9285714285714,,395.60153112516053,95.97,95.16999999999999
2013-01-23,413.0,95.06,0,0,0,2013,1,23,2,1,4,0,0,0,461.0,265.0,593.0,,472.42857142857144,561.8571428571429,,394.6791342947065,96.09,95.57428571428571
2013-01-24,326.0,95.35,0,0,0,2013,1,24,3,1,4,0,0,0,413.0,4.0,700.0,,493.57142857142856,549.0,,385.5744014423403,95.06,95.68571428571428
2013-01-25,389.0,95.15,0,0,0,2013,1,25,4,1,4,0,0,0,326.0,60.0,726.0,,539.5714285714286,522.2857142857143,,333.0649872236433,95.35,95.66571428571429
2013-01-26,697.0,95.41666666666667,0,0,0,2013,1,26,5,1,4,1,0,0,389.0,667.0,631.0,,586.5714285714286,498.2142857142857,,271.6657610268282,95.15,95.6
2013-01-27,616.0,95.68333333333334,0,0,0,2013,1,27,6,1,4,1,0,0,697.0,1090.0,679.0,,590.8571428571429,502.92857142857144,,273.377290309826,95.41666666666667,95.5552380952381
2013-01-28,318.0,95.95,0,0,0,2013,1,28,0,1,5,0,0,0,616.0,760.0,683.0,,523.1428571428571,498.42857142857144,,167.2337969943361,95.68333333333334,95.53142857142858
2013-01-29,393.0,97.62,0,0,0,2013,1,29,1,1,5,0,0,0,318.0,461.0,547.0,,460.0,472.35714285714283,,144.8424431350605,95.95,95.52857142857144
2013-01-30,487.0,97.98,0,0,0,2013,1,30,2,1,5,0,0,0,393.0,413.0,265.0,,450.2857142857143,461.35714285714283,,147.02801806199383,97.62,95.74714285714286
2013-01-31,282.0,97.65,0,0,0,2013,1,31,3,1,5,0,0,1,487.0,326.0,4.0,,460.85714285714283,477.2142857142857,,146.5599178623181,97.98,96.16428571428573
2013-02-01,401.0,97.46,0,0,0,2013,2,1,4,1,5,0,1,0,282.0,389.0,60.0,582.0,454.57142857142856,497.07142857142856,520.8333333333334,154.05935776279742,97.65,96.49285714285715
2013-02-02,775.0,97.04333333333332,0,0,0,2013,2,2,5,1,5,1,0,0,401.0,697.0,667.0,310.0,456.2857142857143,521.4285714285714,514.8,153.2728659240484,97.46,96.82285714285716
2013-02-03,855.0,96.62666666666667,0,0,0,2013,2,3,6,1,5,1,0,0,775.0,616.0,1090.0,338.0,467.42857142857144,529.1428571428571,530.3,174.98653009384927,97.04333333333332,97.0552380952381
2013-02-04,411.0,96.21,0,0,0,2013,2,4,0,1,6,0,0,0,855.0,318.0,760.0,654.0,501.57142857142856,512.3571428571429,547.5333333333333,224.9813748904984,96.62666666666667,97.19000000000001
2013-02-05,272.0,96.68,0,0,0,2013,2,5,1,1,6,0,0,0,411.0,393.0,461.0,979.0,514.8571428571429,487.42857142857144,539.4333333333333,214.85221942180658,96.21,97.22714285714285
